id,kode,nama,fakultas,gambar,deskripsi,created_at,updated_at
1,FLI001,Radio Station,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/radio-station.jpg,"UMN RADIO 107.7 FM disiarkan secara streaming di radio.umn.ac.id. Dilengkapi dengan fasilitas sesuai standar operasional penyiaran radio, mahasiswa dapat memproduksi dan menyiarkan program-program radio. Mereka melakukan siaran setiap hari senin sampai sabtu, mulai pukul 8 pagi hingga 5 sore. Berbagai program berkualitas dan menarik berhasil disiarkan oleh mahasiswa, seperti Travelogy (program lifestyle yang mengangkat tema travel, mengulik rekomendasi tempat travelling dan pusat nongkrong yang asik), WOC/What’s On Campus (sarana informasi terkait hal-hal yang sedang ramai dibicarakan mahasiswa), Ngomel/Ngomongin Game-Lah (rekomendasi game yang seru), Weekend in Korea (informasi menarik seputar Korea Selatan, bisa request dan dengar lagu Kpop favorit), dan lainnya.",1573897834334,1573897834334
2,FLI002,News Room,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/newsroom.jpg,"Newsroom merupakan cita-cita dari seluruh media di era konvergensi, di mana sebuah berita tidak hanya dikemas dalam bentuk tulisan atau video melainkan juga berupa gabungan dari berbagai jenis media. Dilengkapi dengan perangkat teknologi komunikasi dan informasi sesuai standar operasional media, Newsroom UMN menjadi tempat bagi jurnalis cetak, online, radio, dan televisi untuk bekerja sama dalam merumuskan suatu pemberitaan yang menarik dan dapat diakses dengan mudah oleh khalayak. Di sini, mahasiswa akan mendapatkan pengalaman bekerja seolah di ruang redaksi suatu media.",1573897840503,1573897840503
3,FLI003,TV Studio,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/tv-studio2.jpg,"Studio ini dirancang khusus sesuai standar operasional penyiaran televisi agar mahasiswa dapat mendesain, memproduksi dan menayangkan program televisi. Mahasiswa akan dibekali bagaimana sistem kerja di dunia pertelevisian dan penggunaan alat-alat yang digunakan seperti Teleprompter (layar monitor yang menampilkan naskah presenter), Character Generator (komputer penampil grafis dan tulisan di layar televisi), switcher (peralatan untuk perpindahan gambar dari satu kamera ke kamera lain), Video Mixer, dan HD Camcorder. Beragam news dan program yang dihasilkan mahasiswa dari UMN TV dapat disaksikan melalui streaming di tv.umn.ac.id.",1573897847907,1573897847907
4,FLI004,Colabo Insight,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/colaboinsight.jpg,Ruang yang difungsikan untuk menggali pemahaman individu atau grup melalui Focus Group Discussion (FGD) atau wawancara mendalam. Ruang ini dilengkapi dengan fasilitas yang mampu menunjang kegiatan tersebut.,1573897857779,1573897857779
5,FLI005,Colabo Hub,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/colabohub-fc.jpg,"Ruang praktek mahasiswa Fakultas Komunikasi UMN, yang terdiri dari ruang simulasi press conference, ruang meeting, ruang pengolahan data, ruang focus group discussion, mini green screen studio, dan mini sound recording studio.",1573897862105,1573897862105
6,FLI006,Colabo Space,Komunikasi,https://www.umn.ac.id/wp-content/uploads/2016/02/colabospace.jpg,"Ruang bagi mahasiswa/i untuk melakukan banyak hal dibidang komunikasi seperti praktek simulasi press conference, mini seminar, pameran, diskusi ilmiah dan lain sebagainya.",1573897868885,1573897868885
7,FLD001,Game Design Lab,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/gamedesignlab.jpg,"Laboratorium ini terbagi menjadi dua ruangan, yakni work station dan playing room. Work station adalah ruangan untuk membuat game. Sedangkan playing room adalah ruangan untuk menguji coba game yang telah dibuat dengan menggunakan konsol, seperti Nintendo Switch, PS4, PSP, PC, dan Xbox One.",1573897873821,1573897873821
8,FLD002,Render Farm Lab,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/Renderfarmlab.jpg,"Studio ini berisi komputer-komputer berkapasitas tinggi untuk kebutuhan produksi film dan animasi. Selain untuk membantu mahasiswa mempercepat proses rendering dari hasil karya animasi mereka, Render Farm ditujukan agar kompetensi mahasiswa UMN sesuai dengan kebutuhan industri.",1573897879991,1573897879991
9,FLD003,Cinema Screening,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/cinema-screening.jpg,"Dengan dilengkapi audio Dolby 7.1 Surround, laboratorium yang dikenal dengan nama Cinema Screening ini memfasilitasi mahasiswa UMN untuk melakukan pengecekan terakhir suara pada film mereka. Ketika film-film karya mahasiswa UMN launching, diharapkan kualitas suara di film tersebut sudah sesuai dengan standar industri. Ke depannya, cinema screening ini juga akan dilengkapi dengan color grading, di mana mahasiswa dapat mengedit langsung warna pada film mereka.",1573897884927,1573897884927
10,FLD004,Green Screen Studio,Seni & Desain,https://www.umn.ac.id/wp-content/uploads/2016/02/greenscreen.jpg,"Studio ini dirancang khusus untuk membuat film dan animasi. Perekaman suatu adegan dapat diambil dari 3 angle yang berbeda dengan memanfaatkan berbagai fasilitas, seperti towing (alat untuk mengangkat orang), lampu, kostum, sensor titik motion, dan green screen.",1573897889953,1573897889953
